#------------------------
#   k         chi               dchi         eo
  2.5500000      -0.13168253       0.27809160E-02  8347.7210
  2.6000000      -0.15130312       0.27805910E-02  8347.7210
  2.6500000      -0.16490522       0.31285212E-02  8347.7210
  2.7000000      -0.17645515       0.57170424E-02  8347.7210
  2.7500000      -0.18259369       0.36691437E-02  8347.7210
  2.8000000      -0.18577467       0.33005302E-02  8347.7210
  2.8500000      -0.18364213       0.45983724E-02  8347.7210
  2.9000000      -0.17682888       0.41778315E-02  8347.7210
  2.9500000      -0.16542875       0.29021016E-02  8347.7210
  3.0000000      -0.15136524       0.28384685E-02  8347.7210
  3.0500000      -0.12882979       0.27953569E-02  8347.7210
  3.1000000      -0.10365497       0.28178275E-02  8347.7210
  3.1500000      -0.79743808E-01   0.28169827E-02  8347.7210
  3.2000000      -0.56144224E-01   0.27881090E-02  8347.7210
  3.2500000      -0.34302157E-01   0.29145349E-02  8347.7210
  3.3000000      -0.96384983E-02   0.29856937E-02  8347.7210
  3.3500000       0.71189628E-02   0.28177419E-02  8347.7210
  3.4000000       0.21231319E-01   0.32256446E-02  8347.7210
  3.4500000       0.31428130E-01   0.36478502E-02  8347.7210
  3.5000000       0.45554778E-01   0.31144835E-02  8347.7210
  3.5500000       0.50170883E-01   0.31014536E-02  8347.7210
  3.6000000       0.57097032E-01   0.31727542E-02  8347.7210
  3.6500000       0.66331394E-01   0.30556899E-02  8347.7210
  3.7000000       0.73946424E-01   0.30341499E-02  8347.7210
  3.7500000       0.78530378E-01   0.30290677E-02  8347.7210
  3.8000000       0.79956256E-01   0.30081443E-02  8347.7210
  3.8500000       0.81118687E-01   0.27484499E-02  8347.7210
  3.9000000       0.85498438E-01   0.27838333E-02  8347.7210
  3.9500000       0.76923707E-01   0.29219890E-02  8347.7210
  4.0000000       0.68913833E-01   0.29733682E-02  8347.7210
  4.0500000       0.62968738E-01   0.29825233E-02  8347.7210
  4.1000000       0.55162462E-01   0.37517580E-02  8347.7210
  4.1500000       0.39827098E-01   0.34643599E-02  8347.7210
  4.2000000       0.30647035E-01   0.29875692E-02  8347.7210
  4.2500000       0.16487438E-01   0.28633276E-02  8347.7210
  4.3000000       0.38508059E-02   0.29897563E-02  8347.7210
  4.3500000      -0.52266948E-03   0.28867589E-02  8347.7210
  4.4000000      -0.36021043E-02   0.27281319E-02  8347.7210
  4.4500000      -0.16423619E-01   0.27912063E-02  8347.7210
  4.5000000      -0.13795645E-01   0.28342025E-02  8347.7210
  4.5500000      -0.14445844E-01   0.28606315E-02  8347.7210
  4.6000000      -0.15343724E-01   0.27486925E-02  8347.7210
  4.6500000      -0.18364909E-01   0.27532925E-02  8347.7210
  4.7000000      -0.25060114E-01   0.27770113E-02  8347.7210
  4.7500000      -0.23286965E-01   0.28238983E-02  8347.7210
  4.8000000      -0.30010935E-01   0.28414668E-02  8347.7210
  4.8500000      -0.31755607E-01   0.28401723E-02  8347.7210
  4.9000000      -0.32069640E-01   0.29012894E-02  8347.7210
  4.9500000      -0.27176814E-01   0.29687798E-02  8347.7210
  5.0000000      -0.25561220E-01   0.27728166E-02  8347.7210
  5.0500000      -0.22670017E-01   0.27297749E-02  8347.7210
  5.1000000      -0.25900377E-01   0.28185004E-02  8347.7210
  5.1500000      -0.12511313E-01   0.30755736E-02  8347.7210
  5.2000000      -0.95447709E-02   0.61215858E-02  8347.7210
  5.2500000      -0.66653005E-02   0.28744563E-02  8347.7210
  5.3000000      -0.50544486E-03   0.28903628E-02  8347.7210
  5.3500000       0.17822266E-02   0.29076476E-02  8347.7210
  5.4000000      -0.14490986E-02   0.29000967E-02  8347.7210
  5.4500000       0.20236931E-02   0.27866613E-02  8347.7210
  5.5000000       0.16535886E-02   0.28855012E-02  8347.7210
  5.5500000       0.51956458E-02   0.28082301E-02  8347.7210
  5.6000000       0.59875471E-02   0.28191029E-02  8347.7210
  5.6500000       0.21692671E-02   0.28628380E-02  8347.7210
  5.7000000      -0.19071669E-02   0.28050884E-02  8347.7210
  5.7500000      -0.25434809E-02   0.27464764E-02  8347.7210
  5.8000000       0.12874366E-03   0.27015339E-02  8347.7210
  5.8500000       0.10523436E-02   0.27580644E-02  8347.7210
  5.9000000       0.23672215E-02   0.27797549E-02  8347.7210
  5.9500000       0.57539204E-02   0.49999354E-02  8347.7210
  6.0000000       0.93887926E-02   0.28486006E-02  8347.7210
  6.0500000       0.13017112E-01   0.28505838E-02  8347.7210
  6.1000000       0.15353078E-01   0.27552426E-02  8347.7210
  6.1500000       0.17816017E-01   0.28222229E-02  8347.7210
  6.2000000       0.22966737E-01   0.27460941E-02  8347.7210
  6.2500000       0.27601324E-01   0.28394597E-02  8347.7210
  6.3000000       0.24015512E-01   0.29097346E-02  8347.7210
  6.3500000       0.23531926E-01   0.27385935E-02  8347.7210
  6.4000000       0.18123194E-01   0.27775218E-02  8347.7210
  6.4500000       0.18425211E-01   0.27903870E-02  8347.7210
  6.5000000       0.16478170E-01   0.27624407E-02  8347.7210
  6.5500000       0.35425460E-02   0.38655435E-02  8347.7210
  6.6000000       0.21728358E-02   0.54935170E-02  8347.7210
  6.6500000      -0.27334674E-02   0.28382001E-02  8347.7210
  6.7000000      -0.87469525E-02   0.21068146E-02  8347.7210
  6.7500000      -0.13363418E-01   0.22805393E-02  8347.7210
  6.8000000      -0.12376379E-01   0.24542640E-02  8347.7210
  6.8500000      -0.16807063E-01   0.26279886E-02  8347.7210
  6.9000000      -0.20264941E-01   0.27835995E-02  8347.7210
  6.9500000      -0.17710900E-01   0.28366565E-02  8347.7210
  7.0000000      -0.19264232E-01   0.28897136E-02  8347.7210
  7.0500000      -0.15595198E-01   0.29427706E-02  8347.7210
  7.1000000      -0.15233117E-01   0.29799236E-02  8347.7210
  7.1500000      -0.15864586E-01   0.29606596E-02  8347.7210
  7.2000000      -0.16680377E-01   0.29413956E-02  8347.7210
  7.2500000      -0.14836859E-01   0.29221315E-02  8347.7210
  7.3000000      -0.11608819E-01   0.29655492E-02  8347.7210
  7.3500000      -0.10669692E-01   0.30384311E-02  8347.7210
  7.4000000      -0.80359866E-02   0.31113130E-02  8347.7210
  7.4500000      -0.16328674E-02   0.31711774E-02  8347.7210
  7.5000000      -0.18576853E-02   0.31409224E-02  8347.7210
  7.5500000       0.22206106E-02   0.31106675E-02  8347.7210
  7.6000000       0.69947553E-02   0.30804125E-02  8347.7210
  7.6500000       0.11731409E-01   0.30703813E-02  8347.7210
  7.7000000       0.93849689E-02   0.30774636E-02  8347.7210
  7.7500000       0.77228868E-02   0.30845460E-02  8347.7210
  7.8000000       0.47865724E-02   0.31091859E-02  8347.7210
  7.8500000       0.74685687E-02   0.31890899E-02  8347.7210
  7.9000000       0.52038225E-02   0.32689938E-02  8347.7210
  7.9500000       0.30615741E-02   0.33488977E-02  8347.7210
  8.0000000      -0.85898134E-03   0.32330770E-02  8347.7210
  8.0500000      -0.11114302E-02   0.30948009E-02  8347.7210
  8.1000000       0.45835125E-03   0.29565248E-02  8347.7210
  8.1500000      -0.98927373E-03   0.29675348E-02  8347.7210
  8.2000000      -0.20308761E-02   0.31083881E-02  8347.7210
  8.2500000      -0.45376237E-02   0.32492414E-02  8347.7210
  8.3000000      -0.61026396E-02   0.37683215E-02  8347.7210
  8.3500000      -0.59219207E-02   0.49303580E-02  8347.7210
  8.4000000      -0.45118553E-02   0.60923945E-02  8347.7210
  8.4500000      -0.21412761E-02   0.67966018E-02  8347.7210
  8.5000000       0.12583193E-02   0.61913763E-02  8347.7210
  8.5500000       0.40075283E-02   0.55861507E-02  8347.7210
  8.6000000       0.58341484E-02   0.49809251E-02  8347.7210
  8.6500000       0.66051015E-02   0.43756995E-02  8347.7210
  8.7000000       0.61535714E-02   0.37704739E-02  8347.7210
  8.7500000       0.41681662E-02   0.31993809E-02  8347.7210
  8.8000000       0.24617285E-02   0.32417425E-02  8347.7210
  8.8500000       0.46427887E-02   0.32841040E-02  8347.7210
  8.9000000       0.35619616E-02   0.33264656E-02  8347.7210
  8.9500000       0.15560471E-02   0.33688272E-02  8347.7210
  9.0000000       0.25400665E-02   0.34111887E-02  8347.7210
  9.0500000       0.49032765E-02   0.34434398E-02  8347.7210
  9.1000000       0.50089979E-02   0.34332330E-02  8347.7210
  9.1500000       0.41484335E-02   0.34230262E-02  8347.7210
  9.2000000       0.11176911E-02   0.34128194E-02  8347.7210
  9.2500000       0.32421305E-02   0.34026126E-02  8347.7210
  9.3000000      -0.12634892E-02   0.33924059E-02  8347.7210
  9.3500000      -0.97108773E-03   0.34028429E-02  8347.7210
  9.4000000      -0.52298153E-03   0.34305758E-02  8347.7210
  9.4500000      -0.36389441E-02   0.34583086E-02  8347.7210
  9.5000000      -0.27040392E-02   0.34860415E-02  8347.7210
  9.5500000      -0.18251142E-02   0.35137744E-02  8347.7210
  9.6000000       0.10432952E-02   0.35415073E-02  8347.7210
  9.6500000       0.14194861E-03   0.35816510E-02  8347.7210
  9.7000000       0.40314399E-02   0.36229922E-02  8347.7210
  9.7500000       0.58006606E-03   0.36643334E-02  8347.7210
  9.8000000       0.34862908E-02   0.37056745E-02  8347.7210
  9.8500000      -0.10186250E-02   0.37470157E-02  8347.7210
  9.9000000       0.14584375E-02   0.38155485E-02  8347.7210
  9.9500000       0.32395810E-02   0.39016494E-02  8347.7210
  10.000000       0.48268655E-02   0.39877502E-02  8347.7210
  10.050000       0.31292707E-02   0.40738511E-02  8347.7210
  10.100000      -0.42496779E-03   0.41599519E-02  8347.7210
  10.150000       0.41745624E-04   0.41834200E-02  8347.7210
  10.200000      -0.24187441E-02   0.40899477E-02  8347.7210
  10.250000      -0.48125514E-02   0.39964755E-02  8347.7210
  10.300000      -0.35605198E-02   0.39030032E-02  8347.7210
  10.350000      -0.47900787E-02   0.38095309E-02  8347.7210
  10.400000      -0.26855429E-02   0.37056704E-02  8347.7210
  10.450000      -0.44501644E-02   0.35676534E-02  8347.7210
  10.500000      -0.51713168E-02   0.34296364E-02  8347.7210
  10.550000      -0.59124811E-02   0.32916194E-02  8347.7210
  10.600000      -0.33044349E-02   0.31536024E-02  8347.7210
  10.650000      -0.47872929E-02   0.32568736E-02  8347.7210
  10.700000      -0.49902706E-02   0.39306480E-02  8347.7210
  10.750000      -0.34796800E-02   0.46044225E-02  8347.7210
  10.800000      -0.14450633E-02   0.52781969E-02  8347.7210
  10.850000      -0.10393234E-02   0.59519714E-02  8347.7210
  10.900000      -0.21581843E-02   0.62404918E-02  8347.7210
  10.950000      -0.24710173E-02   0.57251077E-02  8347.7210
  11.000000      -0.44002236E-02   0.52097236E-02  8347.7210
  11.050000      -0.38564914E-02   0.46943395E-02  8347.7210
  11.100000      -0.16916492E-02   0.41789554E-02  8347.7210
  11.150000       0.63934646E-03   0.39958946E-02  8347.7210
  11.200000       0.23476900E-02   0.40358662E-02  8347.7210
  11.250000       0.46834528E-02   0.40758379E-02  8347.7210
  11.300000       0.69055520E-02   0.41158096E-02  8347.7210
  11.350000       0.38526892E-02   0.41557812E-02  8347.7210
  11.400000       0.21373828E-02   0.43274699E-02  8347.7210
  11.450000       0.32972213E-02   0.45161386E-02  8347.7210
  11.500000       0.14054733E-02   0.47048074E-02  8347.7210
  11.550000       0.56880734E-02   0.48934762E-02  8347.7210
  11.600000       0.79202615E-02   0.50821449E-02  8347.7210
  11.650000       0.31232545E-02   0.52708137E-02  8347.7210
  11.700000       0.65978559E-04   0.54594824E-02  8347.7210
  11.750000      -0.14905324E-02   0.52927380E-02  8347.7210
  11.800000      -0.41520539E-02   0.51257380E-02  8347.7210
  11.850000      -0.40634223E-02   0.49587381E-02  8347.7210
  11.900000       0.13511891E-03   0.47917381E-02  8347.7210
  11.950000      -0.19765506E-02   0.46247381E-02  8347.7210
  12.000000       0.17183310E-02   0.44577381E-02  8347.7210
  12.050000       0.31404426E-02   0.42901226E-02  8347.7210
  12.100000       0.80684242E-03   0.41215626E-02  8347.7210
  12.150000       0.26000328E-02   0.39530027E-02  8347.7210
  12.200000       0.25563589E-02   0.37844428E-02  8347.7210
  12.250000       0.37294417E-02   0.36158828E-02  8347.7210
  12.300000       0.49629231E-02   0.34473229E-02  8347.7210
  12.350000       0.41573807E-02   0.32787629E-02  8347.7210
  12.400000       0.19803473E-02   0.35919122E-02  8347.7210
  12.450000      -0.16970003E-03   0.39507113E-02  8347.7210
  12.500000      -0.59306922E-02   0.43095104E-02  8347.7210
  12.550000      -0.23692010E-02   0.46683095E-02  8347.7210
  12.600000       0.14804951E-02   0.50271087E-02  8347.7210
  12.650000      -0.32841956E-03   0.53859078E-02  8347.7210
  12.700000       0.18360706E-03   0.54379909E-02  8347.7210
  12.750000      -0.16710415E-02   0.53139212E-02  8347.7210
  12.800000      -0.31939615E-02   0.51898516E-02  8347.7210
  12.850000      -0.38437825E-02   0.50657820E-02  8347.7210
  12.900000      -0.28311407E-02   0.49417124E-02  8347.7210
  12.950000      -0.12625019E-02   0.48176428E-02  8347.7210
  13.000000      -0.36771965E-02   0.47795215E-02  8347.7210
  13.050000      -0.20383687E-02   0.48148840E-02  8347.7210
  13.100000      -0.58553437E-02   0.48502466E-02  8347.7210
  13.150000      -0.69235858E-02   0.48856091E-02  8347.7210
  13.200000      -0.42615536E-02   0.49209716E-02  8347.7210
  13.250000      -0.35951602E-02   0.49563341E-02  8347.7210
  13.300000      -0.30463969E-02   0.49739779E-02  8347.7210
  13.350000       0.32492958E-02   0.49749929E-02  8347.7210
  13.400000       0.29679464E-02   0.49760079E-02  8347.7210
  13.450000       0.38100253E-02   0.49770229E-02  8347.7210
  13.500000       0.36207404E-02   0.49780379E-02  8347.7210
  13.550000       0.33565487E-02   0.49790529E-02  8347.7210
  13.600000       0.83313247E-03   0.49800679E-02  8347.7210
  13.650000      -0.26028784E-03   0.49810829E-02  8347.7210
  13.700000       0.29993392E-02   0.53661989E-02  8347.7210
  13.750000       0.33119667E-03   0.59167291E-02  8347.7210
  13.800000       0.48657897E-02   0.64672594E-02  8347.7210
  13.850000       0.37735083E-02   0.70177897E-02  8347.7210
  13.900000      -0.16838641E-03   0.75683200E-02  8347.7210
  13.950000      -0.23442359E-02   0.81188503E-02  8347.7210
  14.000000      -0.37145471E-03   0.86693805E-02  8347.7210





























































